country,0
Afghanistan,9.433962264150943e-08
Albania,1.111111111111111e-06
Algeria,6.41025641025641e-08
Angola,5.449591280653951e-08
Argentina,4.319654427645788e-08
Armenia,0.0
Austria,1.0869565217391305e-07
Azerbaijan,3.92156862745098e-07
Bahamas,0.0
Bahrain,6.25e-07
Bangladesh,5.7636887608069166e-09
Barbados,3.3333333333333333e-06
Belarus,0.0
Belgium,0.0
Belize,0.0
Benin,0.0
Bhutan,0.0
Bolivia,8.196721311475409e-08
Bosnia Herzegovina,2.941176470588235e-07
Botswana,0.0
Brazil,4.9019607843137254e-09
Bulgaria,0.0
Burkina Faso,0.0
Burundi,7.575757575757576e-08
Cambodia,1.1764705882352942e-07
Cameroon,3.5587188612099644e-08
Cape Verde,0.0
Central African Republic,0.0
Chad,0.0
Chile,1e-07
China,0.0
Colombia,1.9157088122605365e-08
Comoros,1.111111111111111e-06
Congo,0.0
Costa Rica,1.8867924528301886e-07
Croatia,0.0
Cuba,0.0
Cyprus,0.0
Czechia,9.174311926605505e-08
Djibouti,0.0
Dominican Republic,1.7699115044247788e-07
Ecuador,0.0
Egypt,0.0
El Salvador,0.0
Equatorial Guinea,0.0
Eritrea,2.702702702702703e-07
Estonia,0.0
Ethiopia,7.905138339920949e-09
Finland,0.0
France,1.517450682852807e-08
Gabon,0.0
Gambia,0.0
Germany,3.533568904593639e-08
Ghana,0.0
Greece,9.433962264150943e-08
Grenada,0.0
Guatemala,5.5248618784530384e-08
Guinea,7.042253521126761e-08
Guyana,1.25e-06
Haiti,0.0
Honduras,2.0618556701030927e-07
Hungary,5.208333333333334e-07
India,2.0999580008399833e-09
Indonesia,3.588087549336204e-09
Iran,2.242152466367713e-08
Iraq,4.3956043956043954e-08
Israel,0.0
Italy,0.0
Japan,1.606425702811245e-08
Jordan,8.771929824561404e-08
Kazakhstan,0.0
Kenya,5.4446460980036295e-08
Kosovo,0.0
Kuwait,2.2727272727272726e-07
Kyrgyzstan,0.0
Laos,0.0
Latvia,0.0
Lebanon,1.8518518518518518e-07
Lesotho,0.0
Liberia,0.0
Libya,0.0
Lithuania,0.0
Luxembourg,2.8571428571428573e-06
Madagascar,0.0
Malawi,1.0101010101010101e-07
Malaysia,2.994011976047904e-08
Maldives,1.6666666666666667e-06
Mali,0.0
Malta,0.0
Marshall Islands,0.0
Mauritania,0.0
Moldova,8.823529411764706e-07
Monaco,0.0
Mongolia,2.857142857142857e-07
Montenegro,0.0
Morocco,2.7027027027027028e-08
Mozambique,0.0
Myanmar,5.4151624548736464e-08
Namibia,0.0
Nepal,3.236245954692557e-08
Nicaragua,0.0
Niger,3.676470588235294e-08
Nigeria,2.2341376228775693e-08
North Macedonia,5.555555555555555e-07
Norway,0.0
Oman,0.0
Pakistan,4.158004158004158e-09
Palestinian Territory,7.272727272727273e-07
Panama,2.2222222222222222e-07
Papua New Guinea,0.0
Paraguay,0.0
Peru,5.9171597633136094e-08
Poland,2.6525198938992043e-08
Portugal,9.523809523809524e-08
Qatar,0.0
Russia,3.4036759700476516e-08
Rwanda,0.0
Samoa,0.0
Saudi Arabia,0.0
Senegal,0.0
Serbia,1.5151515151515152e-07
Seychelles,1e-05
Sierra Leone,0.0
Singapore,0.0
Slovakia,1.8518518518518518e-07
Slovenia,4.761904761904762e-07
Solomon Islands,0.0
Somalia,1.1049723756906077e-07
South Africa,1.6474464579901154e-08
South Sudan,0.0
Spain,2.070393374741201e-08
Sri Lanka,2.2026431718061673e-07
St. Lucia,0.0
Sudan,6.237006237006236e-08
Sweden,2.857142857142857e-07
Switzerland,2.2727272727272726e-07
Syria,0.0
Taiwan,0.0
Tajikistan,0.0
Tanzania,2.9673590504451037e-08
Thailand,3.0303030303030305e-08
Timor Leste,0.0
Togo,0.0
Tonga,0.0
Tunisia,1.680672268907563e-07
Turkey,2.336448598130841e-08
Turkmenistan,0.0
Tuvalu,0.0
Uganda,2.05761316872428e-08
Ukraine,5.449591280653951e-08
United Arab Emirates,0.0
Uruguay,5.555555555555555e-07
Uzbekistan,0.0
Vanuatu,0.0
Venezuela,3.472222222222222e-08
Vietnam,4.0444893832153693e-08
Yemen,8.720930232558139e-08
Zambia,0.0
Zimbabwe,0.0
